ID,ゲーム仕様文,ゲーム仕様が含まれるタイトル,プリンセスメーカー,ベスト競馬・ダービースタリオン,卒業 Graduation,ときめきメモリアル,Jリーグプロサッカークラブをつくろう!,実況パワフルプロ野球3,子育てクイズ マイエンジェル,エターナルメロディ,ゲームで発見!!たまごっち,悠久幻想曲,モンスターファーム,プリメ・ゆめみる妖精,ポケットモンスター ルビー・サファイア,nintendogs,アイドルマスター,ウイニングポストワールド,ドラゴンクエストIX 星空の守り人,ドラゴンクエストモンスターズ ジョーカー2,おさわり探偵 なめこ栽培キット,パズル＆ドラゴンズ,艦これ,パワプロアプリ,刀剣乱舞,Fate/Grand Order,共通していた頻度,第一類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる最も類似しているゲーム仕様文,BERTによる第一類似のスコア,第二類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第二に類似しているゲーム仕様文,BERTによる第二類似のスコア,第三類似仕様のプレイヤーチェック（10なら置換可能）,BERTによる第三に類似しているゲーム仕様文,BERTによる第三類似のスコア
1,ゲームの最初にプレイヤーキャラクターの名前を決める,プリンセスメーカー,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,17,10,ゲームの最初にプレイヤーキャラクターの名前を決める。,0.99,0,ゲームの最初にプレイヤーキャラクターの性別を決める,0.99,0,ゲームの最初に育成対象キャラクターの名前を決める,0.98
2,ゲームの最初に育成対象キャラクターの名前を決める,プリンセスメーカー,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,9,10,ゲームの最初に育成対象キャラクターの名前を決める。,0.99,0,ゲームの最初に育成対象キャラクターのタイプを決める,0.99,0,ゲームの最初に育成対象キャラクターを決める,0.99
3,ゲームの最初に育成対象キャラクターの誕生日を決める,プリンセスメーカー,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,ゲームの最初にプレイヤーキャラクターの誕生日を決める,0.99,0,ゲームの最初に育成対象キャラクターの名前を決める,0.98,0,ゲームの最初に育成対象キャラクターの出身を決める,0.98
4,ゲームの最初に育成対象キャラクターの血液型を決める,プリンセスメーカー,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,ゲームの最初にプレイヤーキャラクターの血液型を決める,0.99,0,ゲームの最初に育成対象キャラクターのタイプを決める,0.99,0,ゲームの最初に育成対象キャラクターの芸名を決める,0.98
5,誕生日は育成対象キャラクターのパラメータに影響を与える,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,血液型は育成対象キャラクターのパラメータに影響を与える,0.98,0,血液型はプレイヤーキャラクターと育成対象キャラクターとの相性に影響を与える。,0.96,0,血液型は攻略対象キャラクターとの関係度に影響を与える。,0.95
6,血液型は育成対象キャラクターのパラメータに影響を与える,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,誕生日は育成対象キャラクターのパラメータに影響を与える,0.98,5,血液型はプレイヤーキャラクターと育成対象キャラクターとの相性に影響を与える。,0.97,5,血液型は攻略対象キャラクターとの関係度に影響を与える。,0.97
7,育成期間が決まっている,プリンセスメーカー,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,13,10,育成期間がある,0.93,5,各育成対象キャラクターごとに育成期間が設定されている,0.91,10,育成期限が存在する,0.91
8,パラメータとの結びつきが不明な目標がそれとなく提示される,プリンセスメーカー,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,11,10,パラメータとの結びつきが不明な目標がはっきりと提示される,0.98,0,関係度は複数のパラメータによって構成される,0.9,0,探索での成功失敗には特定パラメータが使用される,0.9
9,育成対象キャラクターの立ち絵は年齢に応じて変化し着替えさせることが出来る,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,育成画面では、一人の育成対象キャラクターの育成コマンドを変更できる,0.93,0,オーディション時、モチベーションを使用してパラメータを上昇させることができる,0.93,0,能力アップでは経験値を使って、育成対象キャラクターのパラメータを上昇できる,0.93
10,1年の間に4つの季節が存在し背景が変化する,プリンセスメーカー,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,一年のうちの季節によって、NPCの立ち絵が変化する。,0.92,0,夏休みと冬休みの期間には、一日ごとに休日のコマンドと関係度が増減するイベントが選べる,0.89,0,一週間のうちに二回手番があるが、二回目は状態異常の可能性が高まる。,0.89
11,メイン画面では以下7つのコマンドが選べる,プリンセスメーカー,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,10,メイン画面では、以下5つのコマンドが選べる。,0.99,9,育成画面では、以下の六つのコマンドが選べる。,0.98,9,メイン画面では以下の6つのコマンドが選択できる。,0.97
12,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド（成功時パラメータ上昇あり）,プリンセスメーカー,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,育成対象キャラクターのパラメータに関するフィードバックが得られるコマンド,0.97,0,強化合成でレベル上昇する育成対象キャラクターのパラメータの上昇値の予測値が確認できる,0.96,0,強化合成でレベル上昇した育成対象キャラクターのパラメータの上昇値が確認できる,0.96
